[2014-04-26 04:20:29][Arios]: Initializing cache...
Definition size: 169.
Clothing 0: 0, false, [230], [63, -1, -1, -1, -1]
Clothing 1: 0, false, [210], [49, -1, -1, -1, -1]
Clothing 2: 0, false, [214], [52, -1, -1, -1, -1]
Clothing 3: 0, false, [217], [55, -1, -1, -1, -1]
Clothing 4: 0, false, [223], [59, -1, -1, -1, -1]
Clothing 5: 0, false, [215], [53, -1, -1, -1, -1]
Clothing 6: 0, false, [235], [67, -1, -1, -1, -1]
Clothing 7: 0, false, [206], [46, -1, -1, -1, -1]
Clothing 8: 0, false, [203], [45, -1, -1, -1, -1]
Clothing 9: 0, true, [203], [45, -1, -1, -1, -1]
Clothing 10: 1, false, [249], [81, -1, -1, -1, -1]
Clothing 11: 1, false, [250], [82, -1, -1, -1, -1]
Clothing 12: 1, false, [251], [83, -1, -1, -1, -1]
Clothing 13: 1, false, [247], [79, -1, -1, -1, -1]
Clothing 14: 1, false, [246], [-1, -1, -1, -1, -1]
Clothing 15: 1, false, [248], [80, -1, -1, -1, -1]
Clothing 16: 1, false, [253], [85, -1, -1, -1, -1]
Clothing 17: 1, false, [252], [84, -1, -1, -1, -1]
Clothing 18: 2, false, [292], [-1, -1, -1, -1, -1]
Clothing 19: 2, false, [292, 322], [-1, -1, -1, -1, -1]
Clothing 20: 2, false, [292, 326], [-1, -1, -1, -1, -1]
Clothing 21: 2, false, [292, 320], [-1, -1, -1, -1, -1]
Clothing 22: 2, false, [292, 327], [-1, -1, -1, -1, -1]
Clothing 23: 2, false, [292, 324], [-1, -1, -1, -1, -1]
Clothing 24: 2, false, [310], [-1, -1, -1, -1, -1]
Clothing 25: 2, false, [297], [-1, -1, -1, -1, -1]
Clothing 26: 3, false, [151], [-1, -1, -1, -1, -1]
Clothing 27: 3, false, [167], [-1, -1, -1, -1, -1]
Clothing 28: 3, false, [170], [-1, -1, -1, -1, -1]
Clothing 29: 3, false, [162], [-1, -1, -1, -1, -1]
Clothing 30: 3, false, [163], [-1, -1, -1, -1, -1]
Clothing 31: 3, false, [158], [-1, -1, -1, -1, -1]
Clothing 32: 3, true, [158], [-1, -1, -1, -1, -1]
Clothing 33: 4, false, [176], [-1, -1, -1, -1, -1]
Clothing 34: 4, false, [176], [-1, -1, -1, -1, -1]
Clothing 35: 4, true, [176], [-1, -1, -1, -1, -1]
Clothing 36: 5, false, [254], [-1, -1, -1, -1, -1]
Clothing 37: 5, false, [271], [-1, -1, -1, -1, -1]
Clothing 38: 5, false, [267], [-1, -1, -1, -1, -1]
Clothing 39: 5, false, [274], [-1, -1, -1, -1, -1]
Clothing 40: 5, false, [275], [-1, -1, -1, -1, -1]
Clothing 41: 5, true, [275], [-1, -1, -1, -1, -1]
Clothing 42: 6, false, [181], [-1, -1, -1, -1, -1]
Clothing 43: 6, false, [183], [-1, -1, -1, -1, -1]
Clothing 44: 6, true, [183], [-1, -1, -1, -1, -1]
Clothing 45: 7, false, [403], [120, -1, -1, -1, -1]
Clothing 46: 7, false, [378], [103, -1, -1, -1, -1]
Clothing 47: 7, false, [387], [110, -1, -1, -1, -1]
Clothing 48: 7, false, [390], [113, -1, -1, -1, -1]
Clothing 49: 7, false, [393], [115, -1, -1, -1, -1]
Clothing 50: 7, false, [399], [118, -1, -1, -1, -1]
Clothing 51: 7, false, [391], [114, -1, -1, -1, -1]
Clothing 52: 7, false, [408], [125, -1, -1, -1, -1]
Clothing 53: 7, false, [382], [105, -1, -1, -1, -1]
Clothing 54: 7, false, [379], [104, -1, -1, -1, -1]
Clothing 55: 7, true, [379], [104, -1, -1, -1, -1]
Clothing 56: 9, false, [456], [-1, -1, -1, -1, -1]
Clothing 57: 9, false, [469], [-1, -1, -1, -1, -1]
Clothing 58: 9, false, [470], [-1, -1, -1, -1, -1]
Clothing 59: 9, false, [471], [-1, -1, -1, -1, -1]
Clothing 60: 9, false, [474], [-1, -1, -1, -1, -1]
Clothing 61: 10, false, [332], [-1, -1, -1, -1, -1]
Clothing 62: 10, false, [351], [-1, -1, -1, -1, -1]
Clothing 63: 10, false, [346], [-1, -1, -1, -1, -1]
Clothing 64: 10, false, [348], [-1, -1, -1, -1, -1]
Clothing 65: 10, false, [343], [-1, -1, -1, -1, -1]
