s suppInterface 4 child 1 config: [449, 7]
Interface 4 child 2 config: [449, 7]
Interface 4 child 3 config: [449, 7]
Interface 4 child 4 config: [449, 7]
Interface 4 child 5 config: [449, 7]
Interface 4 child 6 config: [449, 7]
Interface 4 child 7 config: [449, 7]
Interface 4 child 8 config: [449, 7]
Interface 4 child 9 config: [449, 7]
Interface 4 child 10 config: [449, 7]
Interface 4 child 12 config: [449, 12]
Interface 4 child 13 config: [449, 12]
Interface 4 child 14 config: [449, 12]
Interface 4 child 15 config: [449, 12]
Interface 4 child 17 config: [449, 12]
Interface 4 child 16 config: [449, 12]
Interface 4 child 19 config: [449, 12]
Interface 4 child 18 config: [449, 12]
Interface 4 child 21 config: [449, 12]
Interface 4 child 20 config: [449, 12]
Interface 4 child 25 config: [449, 12]
Interface 5 child 0 config: [309, 2]
Interface 5 child 1 config: [309, 2]
Interface 9 child 27 config: [0, 0]
Interface 9 child 29 config: [0, 0]
Interface 12 child 93 config: [115, 0]
Interface 12 child 92 config: [115, 0]
Interface 12 child 98 config: [304, 0]
Interface 12 child 99 config: [304, 0]
Interface 24 child 0 config: [453, 17]
Interface 28 child 77 config: [545, 0]
Interface 28 child 75 config: [545, 8]
Interface 28 child 102 config: [546, 0]
Interface 28 child 103 config: [546, 8]
Interface 28 child 100 config: [545, 16]
Interface 28 child 101 config: [545, 24]
Interface 28 child 110 config: [545, 16]
Interface 28 child 111 config: [545, 24]
Interface 28 child 108 config: [545, 0]
Interface 28 child 109 config: [545, 8]
Interface 28 child 106 config: [549, 8]
Interface 28 child 107 config: [547, 0], [543, 12]
Interface 28 child 104 config: [546, 24]
Interface 28 child 105 config: [546, 16]
Interface 28 child 116 config: [549, 8]
Interface 28 child 115 config: [546, 16]
Interface 28 child 114 config: [546, 24]
Interface 28 child 113 config: [546, 8]
Interface 28 child 112 config: [546, 0]
Interface 31 child 76 config: [261, 0]
Interface 31 child 77 config: [261, 0]
Interface 31 child 84 config: [261, 0]
Interface 31 child 87 config: [261, 0]
Interface 33 child 76 config: [355, 0]
Interface 33 child 78 config: [355, 0]
Interface 33 child 79 config: [355, 0]
Interface 33 child 86 config: [355, 2]
Interface 33 child 80 config: [355, 0]
Interface 33 child 102 config: [355, 2]
Interface 33 child 103 config: [355, 2]
Interface 33 child 100 config: [355, 2]
Interface 33 child 101 config: [355, 2]
Interface 33 child 110 config: [355, 2]
Interface 33 child 108 config: [355, 2]
Interface 33 child 109 config: [355, 2]
Interface 33 child 106 config: [355, 2]
Interface 33 child 107 config: [355, 2]
Interface 33 child 104 config: [355, 2]
Interface 33 child 105 config: [355, 2]
Interface 33 child 112 config: [356, 15]
Interface 37 child 76 config: [355, 0]
Interface 37 child 78 config: [355, 0]
Interface 37 child 79 config: [355, 0]
