
item=Dwarf remains, id=0, option=[null, null, null, null, Destroy]
item=Toolkit, id=1, option=[null, null, null, null, Destroy]
item=Cannonball, id=2, option=[null, null, null, null, drop]
item=Nulodion's notes, id=3, option=[Read, null, null, null, Destroy]
item=Ammo mould, id=4, option=[null, null, null, null, drop]
item=Instruction manual, id=5, option=[Read, null, null, null, drop]
item=Cannon base, id=6, option=[Set-up, null, null, null, drop]
item=Cannon base, id=7, option=[null, null, null, null, drop]
item=Cannon stand, id=8, option=[null, null, null, null, drop]
item=Cannon stand, id=9, option=[null, null, null, null, drop]
item=Cannon barrels, id=10, option=[null, null, null, null, drop]
item=Cannon barrels, id=11, option=[null, null, null, null, drop]
item=Cannon furnace, id=12, option=[null, null, null, null, drop]
item=Cannon furnace, id=13, option=[null, null, null, null, drop]
item=Railing, id=14, option=[null, null, null, null, drop]
item=Holy table napkin, id=15, option=[null, null, null, null, drop]
item=Magic whistle, id=16, option=[Blow, null, null, null, drop]
item=Grail bell, id=17, option=[Ring, null, null, null, drop]
item=Magic gold feather, id=18, option=[Blow-on, null, null, null, drop]
item=Holy grail, id=19, option=[null, null, null, null, Destroy]
item=White cog, id=20, option=[null, null, null, null, drop]
item=Black cog, id=21, option=[null, null, null, null, drop]
item=Blue cog, id=22, option=[null, null, null, null, drop]
item=Red cog, id=23, option=[null, null, null, null, drop]
item=Rat poison, id=24, option=[null, null, null, null, drop]
item=Red vine worm, id=25, option=[null, null, null, null, drop]
item=Fishing trophy, id=26, option=[null, null, null, null, drop]
item=Fishing pass, id=27, option=[null, null, null, null, drop]
item=Insect repellent, id=28, option=[null, null, null, null, drop]
item=Whoopsie, id=29, option=[null, null, null, null, drop]
item=Bucket of wax, id=30, option=[null, null, null, null, drop]
item=Whoopsie, id=31, option=[null, null, null, null, drop]
item=Lit black candle, id=32, option=[Extinguish, null, null, null, drop]
item=Lit candle, id=33, option=[Extinguish, null, null, null, drop]
item=Lit candle, id=34, option=[Extinguish, null, null, null, drop]
item=Excalibur, id=35, option=[null, Wield, null, null, drop]
item=Candle, id=36, option=[null, null, null, null, drop]
item=Candle, id=37, option=[null, null, null, null, drop]
item=Black candle, id=38, option=[null, null, null, null, drop]
item=Bronze arrowtips, id=39, option=[null, null, null, null, drop]
item=Iron arrowtips, id=40, option=[null, null, null, null, drop]
item=Steel arrowtips, id=41, option=[null, null, null, null, drop]
item=Mithril arrowtips, id=42, option=[null, null, null, null, drop]
item=Adamant arrowtips, id=43, option=[null, null, null, null, drop]
item=Rune arrowtips, id=44, option=[null, null, null, null, drop]
item=Opal bolt tips, id=45, option=[null, null, null, null, drop]
item=Pearl bolt tips, id=46, option=[null, null, null, null, drop]
item=Barb bolttips, id=47, option=[null, null, null, null, drop]
item=Longbow (u), id=48, option=[null, null, null, null, drop]
item=Longbow (u), id=49, option=[null, null, null, null, drop]
item=Shortbow (u), id=50, option=[null, null, null, null, drop]
item=Shortbow (u), id=51, option=[null, null, null, null, drop]
item=Arrow shaft, id=52, option=[null, null, null, null, drop]
item=Headless arrow, id=53, option=[null, null, null, null, drop]
item=Oak shortbow (u), id=54, option=[null, null, null, null, drop]
item=Oak shortbow (u), id=55, option=[null, null, null, null, drop]
item=Oak longbow (u), id=56, option=[null, null, null, null, drop]
item=Oak longbow (u), id=57, option=[null, null, null, null, drop]
item=Willow longbow (u), id=58, option=[null, null, null, null, drop]
item=Willow longbow (u), id=59, option=[null, null, null, null, drop]
item=Willow shortbow (u), id=60, option=[null, null, null, null, drop]
item=Willow shortbow (u), id=61, option=[null, null, null, null, drop]
item=Maple longbow (u), id=62, option=[null, null, null, null, drop]
item=Maple longbow (u), id=63, option=[null, null, null, null, drop]
item=Maple shortbow (u), id=64, option=[null, null, null, null, drop]
item=Maple shortbow (u), id=65, option=[null, null, null, null, drop]
item=Yew longbow (u), id=66, option=[null, null, null, null, drop]
