NPC id=0, name=Hans, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=1, name=Man, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=2, name=Man, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=3, name=Man, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=4, name=Woman, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=5, name=Woman, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=6, name=Woman, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].   
NPC id=7, name=Farmer, level=7, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=8, name=Thief, level=16, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=9, name=Guard, level=21, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=10, name=Schoolgirl, level=0, option=[Talk-to, null, null, null, null], anims=[7167, 7165].
NPC id=11, name=Tramp, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
NPC id=12, name=Barbarian, level=7, option=[Talk-to, Attack, null, null, null], anims=[808, -1].
NPC id=13, name=Wizard, level=9, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=14, name=Druid, level=33, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=15, name=Warrior woman, level=24, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=16, name=Man, level=2, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=17, name=Schoolgirl, level=0, option=[Talk-to, null, null, null, null], anims=[7167, 7165].
NPC id=18, name=Al-Kharid warrior, level=9, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=19, name=White Knight, level=36, option=[null, Attack, null, null, null], anims=[7047, -1].
NPC id=20, name=Paladin, level=62, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=21, name=Hero, level=69, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=22, name=Forester, level=15, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=23, name=Knight of Ardougne, level=46, option=[null, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=24, name=Man, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=25, name=Woman, level=2, option=[Talk-to, Attack, Pickpocket, null, null], anims=[808, -1].
NPC id=26, name=Knight of Ardougne, level=46, option=[null, Attack, Pickpocket, null, null], anims=[-1, -1].
NPC id=27, name=Archer, level=37, option=[null, Attack, null, null, null], anims=[808, -1].
NPC id=28, name=Zoo keeper, level=0, option=[Talk-to, null, null, null, null], anims=[808, -1].
--#82FA58
